"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","CAR","rb","13","17","332.5","58","0","0","0","0","0","0","247.0635","1069.0869","7.5726","106.9677","86.9628","724.9646","3.5868","2.3184","1.1592","0.1722","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Cooper Kupp","LA","wr","7","17","363.9","54","0","0","0","0","0","0","9.1853","48.6233","0.3343","164.8612","127.0067","1564.7992","12.2494","1.404","0.702","0.3838","235.1598","0.268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Derrick Henry","TEN","rb","6","17","301.3","50","0","0","0","0","0","0","355.1702","1537.7121","13.3275","43.638","36.2627","251.4467","1.1077","3.1874","1.5937","0.5668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Dalvin Cook","MIN","rb","7","17","301.2","50","0","0","0","0","0","0","306.8222","1379.9439","10.7129","63.6101","54.0497","355.875","1.6492","4.4032","2.2016","0.7741","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Jonathan Taylor","IND","rb","14","17","297.2","49","0","0","0","0","0","0","287.482","1365.4713","12.3204","54.2541","46.1538","312.6706","1.7391","2.4452","1.2226","0.0335","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Najee Harris","PIT","rb","9","17","293.5","48","0","0","0","0","0","0","275.803","1133.8798","7.9541","85.4851","69.2837","494.9862","2.3418","1.3205","0.6602","0.1226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Alvin Kamara","NO","rb","14","17","292.6","47","0","0","0","0","0","0","248.0732","1054.9448","10.4795","75.8517","61.0154","468.7422","2.8183","1.3035","0.6518","0.0421","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Travis Kelce","KC","te","8","17","301.5","46","0","0","0","0","0","0","2.3142","9.885","0.1596","144.3772","106.7226","1343.8194","9.7237","1.0228","0.5114","0.289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Justin Jefferson","MIN","wr","7","17","330.9","45","0","0","0","0","0","0","5.1712","31.1504","0.176","160.6705","106.4488","1622.8995","9.6861","1.1738","0.5869","0.2293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Austin Ekeler","LAC","rb","8","17","277.9","43","0","0","0","0","0","0","223.843","982.8239","7.5004","77.4898","65.3689","493.1354","3.3528","2.5281","1.264","0.5431","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
