"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Derrick Henry","TEN","rb","6","17","296.2","66","0","0","0","0","0","0","355.7451","1596.7732","14.4362","44.0314","36.2238","255.5507","1.0961","3.1917","1.5959","0.6335","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Christian McCaffrey","CAR","rb","13","17","279.5","61","0","0","0","0","0","0","243.8633","1037.28","7.5339","103.9202","83.2075","695.2906","3.3689","2.2673","1.1337","0.1895","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Dalvin Cook","MIN","rb","7","17","269.7","57","0","0","0","0","0","0","305.448","1376.4965","11.6047","58.0903","48.6368","306.018","1.3125","4.3239","2.162","0.8698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Alvin Kamara","NO","rb","14","17","264.6","55","0","0","0","0","0","0","247.2745","1047.3395","11.1629","75.5547","61.0742","463.54","2.7659","1.3001","0.6501","0.0488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Najee Harris","PIT","rb","9","17","261.4","54","0","0","0","0","0","0","275.5295","1102.1279","8.2694","86.5897","70.4851","517.9467","2.4848","1.3286","0.6643","0.1416","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Jonathan Taylor","IND","rb","14","17","252.6","51","0","0","0","0","0","0","284.022","1285.5145","11.08","53.6885","44.8042","276.7289","1.4368","2.4067","1.2033","0.0354","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Cooper Kupp","LA","wr","7","17","287.7","49","0","0","0","0","0","0","9.1348","45.3715","0.2983","164.0751","123.3486","1521.5667","11.243","1.3782","0.6891","0.3815","233.3921","0.2861","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Austin Ekeler","LAC","rb","8","17","240.2","47","0","0","0","0","0","0","217.7512","962.8314","7.6265","77.3492","64.1475","473.1707","3.1499","2.4725","1.2363","0.5478","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Leonard Fournette","TB","rb","11","17","237.8","46","0","0","0","0","0","0","226.3503","932.8464","8.9482","74.6793","61.018","454.5278","2.516","0.9874","0.4937","0.1289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Justin Jefferson","MIN","wr","7","17","277.8","46","0","0","0","0","0","0","5.148","31.1949","0.1832","160.5704","105.8318","1591.1305","10.2761","1.167","0.5835","0.2573","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
